,salary,education,description,title,skills,experience,employment_type
0,,Associate's Degree,"Job Description
DescriptionRegistered Nurse Emergency Department  AdventHealth Carrollwood Location Address: 7171 North Dale Mabry Highway Tampa, Florida 33614 Top Reasons to Work At AdventHealth Carrollwood  	Up to 35K Bonus and relocation incentives 	Family-like culture 	Teamwork driven both inter Dept and multidisciplinary 	Positive working climate to support a well-balanced work life balance  Work Hours/Shift: Full-Time/Nights You Will Be Responsible For:   SERVICE:   	Communicates with courtesy when interacting with internal or external customers – in person or on the telephone.   	Demonstrates respect for co-workers and develops positive working relationships with other departments.   	Participates in hourly rounding for outcomes using the AIDET technique.   	Incorporates Caring Model behaviors and culturally competent care into daily practice.   	Demonstrates organizational commitment standards and values.  PEOPLE:  	Adheres to organizational standards for dress and professional appearance.   	Demonstrates collaboration and teamwork in managing patient flow-i.e. promotes timely patient placement by following hospital policy for patient admission, discharge and transfer.   	Participates in peer interviewing and peer review process.  FINANCE:  	Considers factors related to safety, effectiveness, cost and impact on practice in the delivery of nursing services.  OUTCOMES: Assessment:  Collection of comprehensive data pertinent to the patient’s health/situation and unit specific data for process improvement initiatives including: initial patient assessment within expected timeframe, initiates consults as indicated from database collection, identifies patient/family teaching and discharge planning needs.   	 		 			 			Diagnosis: Analyzes the assessment data to determine expected outcomes and plan of care. 			 			 		 	  Outcomes Identification: Identifies expected outcomes for the plan of care individualized to the patient or situation and for unit specific PI outcomes.  Participation in identification of unit specific PI outcomes.  Planning:  The patient’s plan of care is developed, individualized and prioritized daily in collaboration with the patient, family and health team members that is sensitive to the patient’s cultural and spiritual needs and to attain expected outcomes.  Implementation:  Implements the identified plans for patients and unit specific process improvement with appropriate nursing interventions and physicians orders in an accurate, timely manner and documents intervention according to hospital policy. Documentation meets criteria for core measure, charges, PI improvement, and all quality/regulatory standards as measured by chart audits.  Coordinates implementation of the plan of care through leadership and delegation appropriate to skill level including but not limited to: LPNs, NTs, CNAs, Unit Secretaries, RTs, PTs. Educates patient/family based on assessed learning needs.  Evaluation:  Evaluates progress toward attainment of expected patient outcomes and unit specific process improvement outcomes daily with patient, family and health team members.  Practice:  	Maintains safe practice by demonstrating unit specific clinical competency and demonstrating compliance with all regulatory standards.   	Ensures safe and effective handoff communications and documentation of such between care givers.   	Demonstrates safe practice in the administration of medications. 	Demonstrates sensitivity to pain management by alleviating and reducing pain to level acceptable to patient.   	Integrates ethical decision making into daily nursing practice.   	Integrates research findings and Evidence Based Practice into practice.   	Acts as a patient advocate.   	Demonstrates critical thinking skills appropriate to level of experience.   	Integrates population specific standards when planning care   QualificationsWhat You Will Need:  	Graduate of a school of Nursing 	Current Florida RN license 	BLS, ACLS, and PALS certifications 	Bachelor's degree in nursing (preferred) 	Experience in specialty area (preferred)   Job Summary: The Registered Nurse provides self-directed, effective nursing care to groups of patients and other duties as assigned in accordance with Division of Nursing standards and pursuant to Florida Department of Professional Regulation, Chapter 464.003 (3) (a): “Practice of professional nursing means the performance of those acts requiring substantial specialized knowledge, judgment, and nursing skill based upon applied practices of psychological, biological, physical, and social sciences which shall include, but not limited to:  	The observation, assessment, nursing diagnosis, planning, intervention, and evaluation of care; health teaching and counseling of the ill, injured or infirmed; and the promotion of wellness, maintenance of health and prevention of illness and others. 	The administration of medication and treatments as prescribed or authorized by a duly licensed practitioner authorized by the laws of this state to prescribe such medications and treatments. 	The supervision and teaching of other personnel in the theory and performance of any of the above acts.  This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",Registered Nurse Emergency Department Full-Time Nights,"Evaluation Of Care, Phoronix Test Suite, Research, Pediatric Advanced Life Support, Leadership, Decision Making, Psychology, Teaching, Critical Thinking, Hardworking And Dedicated, Nursing Diagnosis, Courtesy, Ethics, Patient Advocacy, Certified Nursing Assistant, Registered Nurse Certified, Licensed Practical Nurse, Basic Life Support, Advanced Cardiovascular Life Support (ACLS), Administration, Communication, Nursing, Pain Management, Team-working, Diseases And Disorders, Patient Assessment, Maintenance, Hospitals, Documentation",No experience required.,FULL_TIME
1,,Bachelor's Degree,"Job Description
Treasury ManagerCorporate Headquarters12575 Uline Drive, Pleasant Prairie, WI 53158At Uline, Finance isn’t just about the numbers; it’s about supporting the entire business.Better together than apart. This position is on-site, and we are looking for good people who share our passion.Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.Position ResponsibilitiesDirectly manage Uline's cash management operations.Oversee weekly cash flow forecasts and reporting.Budget for and minimize bank and credit card fees.Research and recommend corporate investments.Issue and amend letters of credit.Recommend actions to manage foreign currency exposure.Recommend improvements to treasury-related systems and internal controls.Assist in maintaining relationships with key contacts at company-utilized financial institutions. Minimum RequirementsBachelor’s degree in finance-related field.7+ years experience managing treasury operations / teams.CTP preferred.Experience managing investments and multi-currency operations.Proficient in Microsoft Office, SQL databases and Power BI.Excellent verbal and written communication skills.BenefitsComplete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.401(k) with a 5% employer match.Paid holidays and generous paid time off.Bonus programs that include annual performance, sales goals and profit sharing.Scholarship program for children of employees.Employee PerksOn-site café with executive chefs and seasonal dinner-to-go options.First-class fitness center with complimentary personal trainers.Over four miles of beautifully maintained walking trails.Numerous employee appreciation events throughout the year.Professional development classes and monthly in-house speakers.About UlineUline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 38,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.EEO/AA Employer/Vet/Disabled#LI-TE1#CORP",Treasury Manager,"Treasury, Finance, Financial Institution, Investments, Internal Controls, Collection Tree Protocol (CTP)",At least 7 years experience.,FULL_TIME
2,,Other,"Job Description
Certified Mammography TechnicianFull Time, 80 hours per pay period, Day shiftLeConte Medical Center Overview:LeConte Medical Center is a part of Covenant Health, our region’s top-performing healthcare network and is a 79-bed community hospital located in the heart of Sevier County. We’re a full-service, not-for-profit hospital delivering modern medicine and compassionate care to the growing Sevier County community. LeConte offers a full range of health services, including top-tier specialists, a modern ER, and a beautiful Women’s Center. Learn more about our amazing facility at  [ Link Removed ] . As you’d expect, we offer our employees a robust benefits package, including:unmatched medical insurance,tuition reimbursement;student loan repayment assistance,certification bonuses;leadership and professional development programs;an employer-matched 401(k); anda generous Combined Time Off (CTO) program.Position Summary: Performs mammographic procedures by applying proper ionizing radiation coupled with accurate positioning, compression, and processing techniques to obtain high-quality diagnostic images for interpretation by radiologist.ResponsibilitiesReceive, relay and document verbal, written and electronic orders in patient medical record.Verify informed consent when indicated. Assists licensed independent practitioner with interventional procedure, including time outs according to policy.Provide for patient comfort and cooperation by familiarizing patient with the equipment and procedure, stressing the need for compression, and by providing general psychological support. Provide patient education. Assumes responsibility for patient needs during procedure, identifying and managing emergency situations.Prepare patient for procedure. Position and handle patients to obtain the desired results as prescribed and specified for diagnosis using a high degree of care, tact, courtesy, patience and safety.Solicit and record patient clinical history relevant to the performance and interpretation of the mammographic examination. Ensure information is documented and available for use by interpreting physician. Assist in maintaining medical records, respecting confidentiality and established policy.Document location of lumps, scars, moles, etc. by means of radiopaque markers on breast and/or diagram on clinical information sheet.Respond to patient questions on BSE, ACS guidelines for screening mammography, patient dosage, possible need for additional projections and other breast imaging procedures.Select equipment appropriate to the patient and the examination to be performed (e.g., platforms, grids, compression plates, cassettes); sets, adjusts, manipulates and controls equipment to apply appropriate diagnostic dosages of ionizing radiation for radiographic exam.QualificationsMinimum Education: None specified; however, must be sufficient to meet the standards for achievement of the below indicated license and/or certification as required by the issuing authority. Minimum Experience: Minimum of two (2) years diagnostic imaging experience required, including experience and training in mammography, breast anatomy and physiology, positioning and compression, quality assurance/quality control techniques, and imaging of patients with breast implants Licensure Requirement: ARRT (R) and within six (6) months (M). State licensure in accordance with Tennessee guidelines.",Mammography Tech-Cert,"Anatomy, Mammography, American Registry Of Radiologic Technologists (ARRT) Certified, Physiology, Medical Imaging, Medical Records, Emergency Handling, Courtesy, Patience, Quality Management, Quality Assurance, Patient Education, Radiology, Moles, Clinical Works",At least 2 years experience.,FULL_TIME
3,,High School,"Job Description
 Delivery Warehouse Team Member Location:Amsterdam, NYJob opportunities vary by location. We update postings daily with open positions.Hourly pay rate: New! Up to $16.55**Effective hourly pay starting date as of 5/16, on select rolesImmediate openings available now.Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.Join Amazon and become part of the dedicated team that gets orders ready for people relying on Amazon’s service. Earn a competitive wage while learning new skills. Stay active in this fast-paced warehouse environment.Depending on your location, you’ll have the option to choose from part-time and full-time roles with early morning, day, and night shifts. Choose the role and shift times that work best for you.Candidates must be 18 years or older with the ability to read and speak English for safety purposes.What this job will be like:Be on the last stop before we deliver customer smiles! Delivery Station Team Members receive trucks full of orders then prepare them for delivery. As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers. Plus, you'll get to use the latest Amazon technology, like smartphones and handheld devices, to scan and sort the orders. These duties can rotate throughout the day, making each day a little different.Reasons you’ll love working here:Health and safety is the top priority: We continue to consult with medical and health experts, and take all recommended precautions in our buildings to keep people healthy.Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.Career development: Many of our entry-level warehouse employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.Teamwork environment: Work is more fun when you are part of a great team. Variety every day: Your days will keep you busy with different types of work.Amazon is hiring for the following types of roles in your area:Delivery Stations – Amazon’s delivery stations are the final stop before an order heads out for delivery to the customer’s door. In this active job you sort packages into delivery routes. To ensure we meet customer-promised delivery times, shift times will vary. Depending on your location, you’ll work a set schedule with hours that range between full-time and part-time.  Basic qualifications:High school or equivalent diplomaAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit  [ Link Removed ]",Warehouse Worker (Immediate Hire) - Earn up to $16.55/hr,"Smartphone, Mobile Devices",,FULL_TIME
4,,High School,"Job Description
Are you someone who is detail oriented and enjoys working split schedules with extra long weekends?If so, we have the job for you!Our client is seeking Inspection/Packers to join their growing team!This position will be responsible for conducting visual inspections of products for quality defects, manually transferring finished products into packaging, and preparing packaged products for shipment.Daylight and evening shifts available - 12 hour working days, rotating 3 day on 4 day off schedule.Pay $16/hrIf you:Have a high school diploma or GEDAre self-motivated to learn and perform job tasks meeting and exceeding company expectationsAre able to work in a fast paced environment to meet production goals and standardsAre able to effectively communicate both verbally and in writingHave the ability to work 12 hour shiftsHave the ability to lift up to 40lbs consistently throughout the day, as well as carrying from one point to another.And are looking to learn and growApply today!Apply online or give us a call at [ Phone number blocked ]  if you would like more information.Manpower is an EOE Employer and does not discriminate against applicants who are women, minority, veterans or on the bias of disability, sexual orientation or gender identity.",Inspector/Packer $16/hour,"Learning, Communication, Scheduling, Attention To Detail, Self Motivation, Packaging And Labeling, Software Packaging, Visual Inspections",,FULL_TIME
5,,4 Year Degree,"Job Description
We are seeking a career-minded individual for the position of Project Engineer, preferably someone who is looking for long-term growth and potential.  In addition to the job description below, candidates must possess strong customer service skills, an eye for detail, and the ability to multi-task at a quick pace.  Being a team player is a must!
 
SUMMARY: Plans, directs, and coordinates projects with high complexity utilizing a large variety of critical skills.

Job Requirements
DUTIES AND RESPONSIBILITIES:

Engineering Design:

Work with engineering design teams to develop new technology components
Learn fundamental design practices and present at Chief design reviews
Perform hand-calculations, FEA analysis and risks analysis
Manage design and manufacturing process details for completion of project
Use CAD software (NX/Solid works) to design components
Create drawings and specifications for manufacturing
Understand proper lifecycle and drawing release structure (PLM/Teamcenter) 

Manufacturing:

Work with outside vendors to qualify and create proper manufacturing process plans
Understand drawings and overall machining definitions
Implement component design changes for ease of manufacturing
Additive manufacturing experience
Welding and brazing nickel-base superalloys experience
Create assembly instructions and understand vendor quality inspection reports

Project Management: 

Create project schedules and track project deliverables
Coordinate all project milestones with vendors and customers
Maintains action items and provide project updates to management and customer
Lead project budget status updates and maintain proper communication to management
Manage project spending and maintain all proper invoicing on time
Be able to manage several projects at the same time
Manage a group of people and ensure deliverables on time

Sourcing and Sales:

Work with sourcing to determine most competitive vendors
Work with finance to support invoicing and PO delivery dates
Provide updates to finance management on project spending and spending outlook

Customer Interaction:

Hold customer kick-off and status update weekly meetings
Provide timely updates to customer and make sure that all risks being covered

QUALIFICATIONS:

Bachelor's degree from four-year college or university in a technical or related field required
Demonstrated ability to balance department efficiency and service excellence
Strong written, verbal, and interpersonal communications skills including ability to listen attentively and to communicate information clearly and effectively
Demonstrated interpersonal, collaborative, and relationship-building skills; ability to interact positively with teammates at various levels across the company and customers
Demonstrated ability to work well with cross-functional groups
Self-motivated, able to multi-task, and detail oriented
Strong organizational, analytical, problem-solving and decision-making skills
Must be able to learn procedures quickly and be a team player
Able to maintain a professional demeanor and a polished professional appearance

Background checks and Drug Screenings will be completed on all candidates considered for hire.
 
REQUIREMENTS:

3+ years quality systems experience within manufacturing required
Easily adapt to new organizations / technical environments
Project management on small to medium projects

PREFERRED:

Aerospace experience
Previous Additive Manufacturing Experience

PHYSICAL DEMANDS AND WORK ENVIORNMENT:


Frequently required to sit, walk, stand, bend, stoop, kneel or crawl
Continually utilize visual acuity to operate equipment, read  technical information, and/or use a keyboard
Frequently required to lift/push/carry items up to 50 pounds
Work on Specialized equipment",Project Engineer,"Attention To Detail, Scheduling, Complex Problem Solving, Team-working, Self Motivation, Customer Interaction Management, Multitasking, Welding, Social Skills, Component Design, Communication, Management, Machining, Customer Service, Sales, Decision Making, Brazing (Metal Work), SolidWorks (CAD), Engineering Design Process, Analysis, Computer-Aided Design, Sourcing (Recruitment), Background Checks, Manufacturing, Finance, Instructions, Reports",At least 3 years experience.,FULL_TIME
6,,Vocational Certificate,"Job Description
Overview:CommonSpirit Health was formed by the alignment of Catholic Health Initiatives (CHI) and Dignity Health. With more than 700 care sites across the U. S. & from clinics and hospitals to home-based care and virtual care services CommonSpirit is accessible to nearly one out of every four U. S. residents. Our world needs compassion like never before. Our communities need caring and our families need protection. With our combined resources CommonSpirit is committed to building healthy communities advocating for those who are poor and vulnerable and innovating how and where healing can happen both inside our hospitals and out in the community.ResponsibilitiesJob SummaryThis position is responsible for providing nursing care of all patients admitted to the Telemetry Unit.Work is performed under standards of safety and care that provide instruction/guidance for taking care of issues and patient needs in the absence of a physician. Requires the use of judgment and critical thinking skills in making decisions regarding patient care (within the scope of practice), including knowledge and integration of available standards, resources and data, and in the efficient utilization of staff/resources.Work involves continuous contact with physicians, patients, patient families, community agencies, patient care staff and management.An incumbent is accountable for the quality of care provided to patients, and has the authority to direct care, provide education, seek resources at the unit/department level, and delegate appropriate tasks.Essential DutiesRecognizes cardiac arrhythmias after telemetry training, and provides appropriate interventions.Manages the care of patients with temporary pacemakersIdentifies the cardiac patient at risk for complications and provides appropriate interventions.Adheres to the department's and hospital's policies and procedures, including safety, risk management and regulatory standards. Keeps abreast of trends, developments and regulatory requirements impacting matters within designated scope of responsibility.Administers, oversees and documents the administration of medications (e.g., topically, orally, intramuscularly, subcutaneously and intravenously) as ordered by the healthcare practitioner and in accordance with hospital policy.Assesses patient to include physical, psychosocial, cultural, behavioral/emotional, developmental and spiritual needs. Gathers data relevant for patient care. Implements appropriate patient interventions and evaluates outcomes. Plans care appropriately based on needs identified during initial and on-going assessments. Provides holistic, comprehensive, and professional nursing care to patient within the scope of practice. Implements appropriate patient interventions and evaluates outcomes. Prepares patient for discharge and assists with coordinating post discharge needs.Cultural Sensitivity and Competence: Demonstrates proper use of available communication tools/materials for effective communication and understands how the culture(s) of patient populations can affect communication, collaboration and the provision of care, treatment and services. Patient Populations Served: Demonstrates knowledge and proper skills associated with the department's defined specific populations served.Demonstrates competent professional practice and engages in opportunities for professional growth. Demonstrates self accountability to meet stated deadlines for all mandatory requirements.Documents care delivered and patient status utilizing the nursing process in accordance with FHS standards of care, for example, changes in patient condition, patient responses to intervention and reassessments of pertinent findings. Receives and assures appropriateness, accuracy, timeliness and execution of physician orders.Identifies opportunities for, and participates in, performance/quality improvement activities to improve clinical outcomes, healthcare delivery systems and address patient safety/satisfaction and cost containment.Incorporates critical thinking into daily practice as demonstrated by quality of care provided, transfer of knowledge, follow through and patient outcomes. Leads, coordinates, and communicates the ongoing delivery of patient care services provided by members of assigned patient care teams(s); considers patient acuity and the competencies of care team members in delegating and assigning work and in adjusting assignments as necessary; assesses and monitors team performance to ensure the quality of care provided is consistent with the FHS standards and regulatory requirements. Coordinates nursing care and advocates for patient needs so that all appropriate disciplines are informed of and participating in the plan of care.Prepares patient for examination/procedure. Routinely explains delays. Assesses, monitors, and intervenes as indicated during and post examination or procedure.Provides health care education and guidance to patient and/or families. Educates regarding results, findings and diagnoses to patient and/or patient's family within scope of practice.Performs related duties as required.QualificationsEducation/ExperienceGraduation from an accredited school of nursing required.Two years previous Medical-Surgical experience within the last three years and expertise in Medical-Surgical level ORNew graduate with successful completion of med-surg residency program.Cardiac nursing experience preferred.Completion of a rhythm interpretation course preferred.(Telemetry training programs are available and FHS is willing to train.)One year of related work experience in an acute care setting is preferred.Possession of a BSN degree is preferred.License/CertificationCurrent licensure as a Registered Nurse issued by the Washington State Board of Nursing required.Current Healthcare BLS Certification required.CEN certification preferred.Specialty certification, as appropriate to the assigned work unit, is strongly preferred. CommonSpirit Health participates in E-verify.",RN Telemetry,"Patient Safety, Nursing Process, Registered Nurse Certified, Psychosocial, Nursing, Medical Surgical Nursing, Acute Care, Quality Management, Telemetry, Assessments, Coordinating, Training, Artificial Cardiac Pacemakers, Intervention, Regulatory Requirements, Intramuscular Injection, Basic Life Support, Health Care, Certified Emergency Nurse (CEN), Hospitals, Administration, Critical Thinking, Management, Communication, Instructions",At least 1 year experience.,FULL_TIME
7,,High School,"Job Description
Adecco is currently assisting one of our main clients, recruiting for HR Staffing Support.  This role is located in Austin, Texas.  This HR Staffing Support jobs are 18-month opportunities. Mon-Fri: 8-5pm For instant consideration for these HR Staffing Support Jobs, Apply Now! HR Staffing Support key responsibilities: - Staffing Operation Support: o Be able to support 2?4 high vol. Recruiters  o Prepare and monitor Offer Letters and requirements  o Follow up with candidates on missing information  o Maintain Req. Tracking Reports  o Conduct Req. Audits  
• Support Background Check process: o Prepare, submit and monitor requests    o Update Status   
• Day 1 Support: o Coordinate new hires' onboarding tasks  o Support Day 1 New Hire Orientation - Santa Clara, CA  o Support / facilitate New Hire paperwork collection   o Track and upload Day 1 Forms  o Distribute welcome gift and other requirements   
• I9 Support:  o Support new i9 verification and Re?verification requests   o Support with federal government audit and requirements   
• Repository Support: o Monitor and Process requests  o Maintain Employee Files and Records  
• Classroom Support:   o Prepare classroom materials and set?up   o Prepare shipment   
• Reporting Support: o Run and Distribute Weekly Reports  
• Other HR duties and projects as needed Requirements:  
• Extremely organized, high energy, optimistic, creative, fun, self-motivated, collaborative, hands on, detail? oriented, flexible and team player  
•Customer service experience with demonstrated ability to effectively assess customer's needs, quickly  respond and problem solve required  
• Good Interpersonal and Communication Skills  
• Able to multitask in a fast? paced environment   
•Computer Literacy, knowledge of Microsoft Office (Word, Excel, PowerPoint and Teams)  
•Knowledge of HR Technology, Workday, i9, DocuSign, First Advantage and OnBase is a Plus  Qualifications: 
• High school diploma required. 
• Bachelor's degree in related field or equivalent experience is a Plus. 
• Minimum 3 years of working in a corporate high volume?recruiting environment. 
• I-9 verification experience 
•Strong knowledge of the recruitment process to understand position requirements, to optimize  company fit and candidate selection. Equal Opportunity Employer Minorities/Women/Veterans/Disabled The Company will consider for employment qualified applicants with arrest and conviction records.  Equal Opportunity Employer/Veterans/DisabledTo read our Candidate Privacy Information Statement, which explains how we will use your information, please The Company will consider qualified applicants with arrest and conviction records",HR Coordinator,"Self Motivation, Team-working, Success Driven, Positive Attitude, Multitasking, Recruitment, Onboarding, Microsoft Excel, Auditing, Reports",At least 3 years experience.,FULL_TIME
8,,High School,"Job Description
How would you like to work in a place where your contributions and ideas are valued? A place where you can serve with compassion, pursue excellence and honor every voice? At Wellstar, our mission is simple, yet powerful: to enhance the health and well-being of every person we serve. We are proud to have become a shining example of what's possible when the brightest professionals dedicate themselves to making a difference in the healthcare industry, and in people's lives.ResponsibilitiesManages communications from pre-hospital providers for Kennestone Emergency Department (ED). Effectively coordinates hospital response to the needs of the pre-hospital patient under the direction of the Kennestone ED Patient Flow Coordinators and EMS Coordinator.

Job Requirements
Required Minimum Education  High School diploma or equivalent. Successful completion of an approved cardiology course to include STEMI recognition. Preferred Education:Paramedic certification.ACLS certificationRequired Minimum CertificationCertification as an EMT in the state of Georgia.Preferred ExperienceMinimum two years experience in the pre-hospital arena or emergency department. Paramedic Certification and experience. Cardiac monitoring experience as a Paramedic. Experience as a 911 dispatcher,PBX skill.Required Minimum Skills Clear speaking voice, command of the English language, excellent phone communication skills, strong background in medical terminology, keyboard skills, ability to multi-task, superior customer service skills. Successfully complete and remain current with clinical competencies",ED Command Center Tech- PRN,"Cardiac Monitoring, Clinical Works, Advanced Cardiovascular Life Support (ACLS), Customer Service, Private Branch Exchange (PBX), Medical Terminology, Emergency Departments, Hospitals, Emergency Medical Services, English Language, Cardiology, Communication, Multitasking",At least 2 years experience.,CONTRACTOR
9,,Bachelor's Degree,"Job Description
Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals, and branded generic medicines. Our 109,000 colleagues serve people in more than 160 countries.Program Manager I – Alameda, CA
ABOUT ABBOTT
At Abbott, we believe people with diabetes should have the freedom to enjoy active lives. That’s why we’re focused on helping people with diabetes manage their health more effectively and comfortably, with life-changing products that provide accurate data to drive better-informed decisions. We’re revolutionizing the way people monitor their glucose levels with our new sensing technology. 
WHAT YOU’LL DO 
We are recruiting for a new Program Manager I to join our team in Alameda, CA. In this role, you will define, plan, coordinate and integrate activities associated with upgrades/changes to existing products or new product launches. These activities include coordination of artwork and packaging, in house and third-party manufacturing, inventory phase in and phase out, procurement and all other manufacturing/operations/supply chain activities. In addition, you will document and maintain all project related plans, schedules, and meeting minutes.
Responsibilities:Coordinate all cross functional activities associated with launching new products or changing existing products.Coordination activities from engineering development or existing product change requests through launch or change implementation for all configurations and markets.Maintain launch plans such that needed commercial product volumes are available on time and that excess and obsolete inventory is minimized.Document meeting minutes, action lists, tracking lists and open issues.Work with functional team to anticipate and solve problems.Participate in review meetings representing project team.Responsible for ensuring the effectiveness of the quality system.Responsible for compliance with applicable Corporate and Divisional Policies and performing other duties as assigned by management.
EDUCATION AND EXPERIENCE YOU’LL BRINGRequired:Bachelor's Degree in a business or other related technical discipline.  2+ years of experience in a similar position from a regulated industry (i.e. medical device, pharmaceutical, aerospace, etc)Previous mechanical and/or electrical engineering experienceProficient in MS Office (Word, Excel, Outlook, Project, etc.)Strong verbal and written communications with ability to effectively communicate at multiple levels in the organization.
Preferred:Previous experience in product development or manufacturing in a medical device environment
WHAT WE OFFER  At Abbott, you can have a good job that can grow into a great career. We offer: Training and career development, with onboarding programs for new employees and tuition assistance  Financial security through competitive compensation, incentives and retirement plans  Health care and well-being programs including medical, dental, vision, wellness and occupational health programs Paid time off  401(k) retirement savings with a generous company match The stability of a company with a record of strong financial performance and history of being actively involved in local communities 
Learn more about our benefits that add real value to your life to help you live fully:   [ Link Removed ]   
Follow your career aspirations to Abbott for diverse opportunities with a company that provides the growth and strength to build your future. Abbott is an Equal Opportunity Employer, committed to employee diversity. 
Connect with us at  [ Link Removed ] , on Facebook at  [ Link Removed ]  and on Twitter @AbbottNews and @AbbottGlobal.",Program Manager I,"Manufacturing, Scheduling, Engineering, Pharmaceuticals, Microsoft Excel, Packaging And Labeling, Microsoft Outlook, Microsoft Word, Procurement, Electrical Engineering",At least 2 years experience.,FULL_TIME
