Level 0 URI,Level 0 preferred term,Level 1 URI,Level 1 preferred term,Level 2 URI,Level 2 preferred term,Level 3 URI,Level 3 preferred term,Description,Scope note
http://data.europa.eu/esco/skill/S,skills,,,,,,,,
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",,,,,"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.0,"communication, collaboration and creativity",,,"Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.0,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.0.0,"communication, collaboration and creativity","Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.","Excludes:
- Communication or interaction with animals"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.1,negotiating,,,"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.",
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.1,negotiating,http://data.europa.eu/esco/skill/S1.1.0,negotiating,"Exchanging ideas while analysing issues and interests at stake, enabling opposing sides to resolve disputes and reach agreement, or making decisions to resolve disputes or impose justice.",
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.1,negotiating,http://data.europa.eu/esco/skill/S1.1.1,negotiating and managing contracts and agreements,"Negotiating and managing contracts and agreements with others concerning matters such as prices, terms of service, employment conditions, access to land and facilities.","Examples include: 
- conclude business agreements
- manage contracts
- negotiate price"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.1,negotiating,http://data.europa.eu/esco/skill/S1.1.2,mediating and resolving disputes,"Working with two or more separate people or groups involved in a disagreement or dispute to bring about an agreement, settlement or compromise.","Excludes:
- Making decisions

Examples include: 
- moderate in negotiations  
- handle financial disputes"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.1,negotiating,http://data.europa.eu/esco/skill/S1.1.3,responding to complaints,Handling and responding to complaints from clients or staff.,"Examples:
- Handle customer complaints
- Manage employee complaints"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.2,liaising and networking,,,"Developing alliances, contacts or partnerships, and exchanging information with others.",
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.2,liaising and networking,http://data.europa.eu/esco/skill/S1.2.0,liaising and networking,"Developing alliances, contacts or partnerships, and exchanging information with others.",
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.2,liaising and networking,http://data.europa.eu/esco/skill/S1.2.1,coordinating activities with others,"Communicating and liaising with colleagues, clients and other agencies on operational matters, problems and activities. Cooperating and liaising with outside agencies, clients and other organisational units to adapt the timing and nature of the activities.","Examples include: 
- coordinate construction activities
- communicate production plan
- liaise with logistics management teams"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.2,liaising and networking,http://data.europa.eu/esco/skill/S1.2.3,developing professional relationships or networks,"Developing alliances, contacts or partnerships with colleagues, clients and stakeholders.","Examples include: 
- develop communication networks with shipping sites
- develop professional network
- maintain relationship with suppliers"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.2,liaising and networking,http://data.europa.eu/esco/skill/S1.2.4,advocating for individual or community needs,"Delivering arguments in favour of something, such as a cause, idea, or policy, to benefit another person or a community.","Excludes:
- Promoting goods and services
- Representing clients in legal proceeding

Examples:
- Advocate for healthcare users' needs
- Promote service users' rights
- Influence legislators"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.3,teaching and training,,,"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.","Excludes:
- Training animals"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.3,teaching and training,http://data.europa.eu/esco/skill/S1.3.0,teaching and training,"Facilitating the acquisition of new knowledge and skills. Leading and guiding individuals and groups through a process in which they are taught the necessary skills and knowledge for life, future learning or for a particular job or set of jobs.","Excludes:
- Training animals"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.3,teaching and training,http://data.europa.eu/esco/skill/S1.3.1,teaching academic or vocational subjects,Instruct students in the theory and practice of academic or vocational subjects.,"Examples:
- Give theory lessons to pilots
- Teach biology
- Teach basic numeracy skills
- Teach industrial arts principles"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.3,teaching and training,http://data.europa.eu/esco/skill/S1.3.2,teaching safety procedures,Teaching safety procedures or standards to other people.,"Examples:
- Educate employees on occupational hazards
- Provide on-board safety training
- Train staff in safety procedures
- Educate public on fire safety"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.3,teaching and training,http://data.europa.eu/esco/skill/S1.3.3,training on operational procedures,"Training employees, students or clients on operational procedures in the work place or and demonstrating the use of equipment or products.","Excludes:
- Teaching vocational subjects as part of formal learning
- Teaching safety procedures and standards
- Coaching

Examples include:
- Teach air cabin crew procedures
- Train operators in using mine machinery
- Demonstrate functionality of software products"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.3,teaching and training,http://data.europa.eu/esco/skill/S1.3.4,training on health or medical topics,"Training patients, health providers, or carers on health or hygiene practices, medical procedures or physcial fitness.","Excludes:
- Teaching medicine or nursing as part of a formal education programme

Examples include:
- Teach first aid principles
- Train medical staff on nutrition
- Educate patient's relations on care"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.3,teaching and training,http://data.europa.eu/esco/skill/S1.3.5,coaching and mentoring,"Actively helping individuals or groups to improve their strengths, life skills, performance, learning skills and confidence and to optimise specific methods, skills or abilities.","Examples:
- Coach during a sports competition
- Assist clients with personal development
- Mentor individual employees"
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.4,presenting information,,,Presenting oral or visual material to an audience in order to provide or interpret information.,
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.4,presenting information,http://data.europa.eu/esco/skill/S1.4.0,presenting information,Presenting oral or visual material to an audience in order to provide or interpret information.,
http://data.europa.eu/esco/skill/S,skills,http://data.europa.eu/esco/skill/S1,"communication, collaboration and creativity",http://data.europa.eu/esco/skill/S1.4,presenting information,http://data.europa.eu/esco/skill/S1.4.1,presenting general information,Presenting information of a non-technical nature to an audience.,"Excludes:
- Presenting information in legal proceedings
- Presenting research or technical information

Examples:
- Give live presentation
- Deliver presentations on tourism 
- Present reports"
